T(s),S1-1F-D,S1-1F-S,S1-2F-D,S1-2F-S,S1-3F-D,S1-3F-S,S1-4F-D,S1-4F-S,S1-5F-D,S1-5F-S,S1-6F-D,S1-6F-S,S1-7F-D,S1-7F-S,S1-8F-D,S1-8F-S
4941,322.94,316.02,319.45,315.88,326.81,316.07,326.81,315.73,330.04,316.32,324.44,316.24,327.30,316.18,327.62,316.34
4942,322.94,316.02,319.45,315.88,326.81,316.07,326.81,315.73,330.05,316.32,324.44,316.24,327.30,316.18,327.62,316.35
4943,322.94,316.02,319.45,315.89,326.81,316.08,326.81,315.73,330.05,316.32,324.45,316.25,327.30,316.18,327.62,316.35
4944,322.94,316.03,319.45,315.89,326.81,316.08,326.81,315.73,330.05,316.32,324.45,316.25,327.30,316.18,327.62,316.35
4945,322.94,316.03,319.45,315.89,326.82,316.08,326.81,315.73,330.05,316.32,324.45,316.25,327.31,316.18,327.63,316.35
4946,322.95,316.03,319.46,315.89,326.82,316.08,326.81,315.74,330.05,316.32,324.45,316.25,327.31,316.18,327.63,316.35
4947,322.95,316.03,319.46,315.89,326.82,316.08,326.82,315.74,330.05,316.33,324.45,316.25,327.31,316.19,327.63,316.35
4948,322.95,316.03,319.46,315.89,326.82,316.08,326.82,315.74,330.06,316.33,324.46,316.25,327.31,316.19,327.63,316.36
4949,322.95,316.03,319.46,315.89,326.82,316.08,326.82,315.74,330.06,316.33,324.46,316.26,327.31,316.19,327.63,316.36
4950,322.95,316.03,319.46,315.90,326.82,316.09,326.82,315.74,330.06,316.33,324.46,316.26,327.31,316.19,327.63,316.36
4951,322.95,316.04,319.46,315.90,326.82,316.09,326.82,315.74,330.06,316.33,324.46,316.26,327.31,316.19,327.63,316.36
4952,322.95,316.04,319.47,315.90,326.82,316.09,326.82,315.74,330.06,316.33,324.47,316.26,327.32,316.19,327.64,316.36
4953,322.95,316.04,319.47,315.90,326.83,316.09,326.82,315.75,330.06,316.33,324.47,316.26,327.32,316.19,327.64,316.36
4954,322.96,316.04,319.47,315.90,326.83,316.09,326.83,315.75,330.07,316.34,324.47,316.26,327.32,316.20,327.64,316.36
4955,322.96,316.04,319.47,315.90,326.83,316.09,326.83,315.75,330.07,316.34,324.47,316.27,327.32,316.20,327.64,316.37
4956,322.96,316.04,319.47,315.90,326.83,316.09,326.83,315.75,330.07,316.34,324.48,316.27,327.32,316.20,327.64,316.37
4957,322.96,316.04,319.47,315.91,326.83,316.10,326.83,315.75,330.07,316.34,324.48,316.27,327.32,316.20,327.64,316.37
4958,322.96,316.05,319.48,315.91,326.83,316.10,326.83,315.75,330.07,316.34,324.48,316.27,327.32,316.20,327.64,316.37
4959,322.96,316.05,319.48,315.91,326.83,316.10,326.83,315.75,330.07,316.34,324.48,316.27,327.32,316.20,327.65,316.37
4960,322.96,316.05,319.48,315.91,326.84,316.10,326.83,315.76,330.08,316.35,324.48,316.27,327.33,316.20,327.65,316.37
4961,322.97,316.05,319.48,315.91,326.84,316.10,326.83,315.76,330.08,316.35,324.49,316.27,327.33,316.21,327.65,316.37
4962,322.97,316.05,319.48,315.91,326.84,316.10,326.84,315.76,330.08,316.35,324.49,316.28,327.33,316.21,327.65,316.38
4963,322.97,316.05,319.48,315.91,326.84,316.10,326.84,315.76,330.08,316.35,324.49,316.28,327.33,316.21,327.65,316.38
4964,322.97,316.06,319.49,315.92,326.84,316.11,326.84,315.76,330.08,316.35,324.49,316.28,327.33,316.21,327.65,316.38
4965,322.97,316.06,319.49,315.92,326.84,316.11,326.84,315.76,330.08,316.35,324.50,316.28,327.33,316.21,327.65,316.38
4966,322.97,316.06,319.49,315.92,326.84,316.11,326.84,315.76,330.08,316.35,324.50,316.28,327.33,316.21,327.66,316.38
4967,322.97,316.06,319.49,315.92,326.84,316.11,326.84,315.76,330.09,316.36,324.50,316.28,327.34,316.21,327.66,316.38
4968,322.97,316.06,319.49,315.92,326.85,316.11,326.84,315.77,330.09,316.36,324.50,316.29,327.34,316.22,327.66,316.39
4969,322.98,316.06,319.49,315.92,326.85,316.11,326.85,315.77,330.09,316.36,324.51,316.29,327.34,316.22,327.66,316.39
4970,322.98,316.06,319.49,315.92,326.85,316.11,326.85,315.77,330.09,316.36,324.51,316.29,327.34,316.22,327.66,316.39
4971,322.98,316.07,319.50,315.93,326.85,316.12,326.85,315.77,330.09,316.36,324.51,316.29,327.34,316.22,327.66,316.39
4972,322.98,316.07,319.50,315.93,326.85,316.12,326.85,315.77,330.09,316.36,324.51,316.29,327.34,316.22,327.66,316.39
4973,322.98,316.07,319.50,315.93,326.85,316.12,326.85,315.77,330.10,316.36,324.51,316.29,327.34,316.22,327.67,316.39
4974,322.98,316.07,319.50,315.93,326.85,316.12,326.85,315.77,330.10,316.37,324.52,316.29,327.35,316.22,327.67,316.39
4975,322.98,316.07,319.50,315.93,326.86,316.12,326.85,315.78,330.10,316.37,324.52,316.30,327.35,316.23,327.67,316.40
4976,322.98,316.07,319.50,315.93,326.86,316.12,326.85,315.78,330.10,316.37,324.52,316.30,327.35,316.23,327.67,316.40
4977,322.99,316.07,319.51,315.93,326.86,316.12,326.86,315.78,330.10,316.37,324.52,316.30,327.35,316.23,327.67,316.40
4978,322.99,316.08,319.51,315.94,326.86,316.13,326.86,315.78,330.10,316.37,324.53,316.30,327.35,316.23,327.67,316.40
4979,322.99,316.08,319.51,315.94,326.86,316.13,326.86,315.78,330.11,316.37,324.53,316.30,327.35,316.23,327.67,316.40
4980,322.99,316.08,319.51,315.94,326.86,316.13,326.86,315.78,330.11,316.38,324.53,316.30,327.35,316.23,327.68,316.40
4981,322.99,316.08,319.51,315.94,326.86,316.13,326.86,315.78,330.11,316.38,324.53,316.31,327.36,316.23,327.68,316.40
4982,322.99,316.08,319.51,315.94,326.87,316.13,326.86,315.78,330.11,316.38,324.54,316.31,327.36,316.24,327.68,316.41
4983,322.99,316.08,319.52,315.94,326.87,316.13,326.86,315.79,330.11,316.38,324.54,316.31,327.36,316.24,327.68,316.41
4984,322.99,316.08,319.52,315.94,326.87,316.13,326.87,315.79,330.11,316.38,324.54,316.31,327.36,316.24,327.68,316.41
4985,323.00,316.09,319.52,315.95,326.87,316.14,326.87,315.79,330.12,316.38,324.54,316.31,327.36,316.24,327.68,316.41
4986,323.00,316.09,319.52,315.95,326.87,316.14,326.87,315.79,330.12,316.38,324.54,316.31,327.36,316.24,327.68,316.41
4987,323.00,316.09,319.52,315.95,326.87,316.14,326.87,315.79,330.12,316.39,324.55,316.31,327.36,316.24,327.69,316.41
4988,323.00,316.09,319.52,315.95,326.87,316.14,326.87,315.79,330.12,316.39,324.55,316.32,327.36,316.25,327.69,316.42
4989,323.00,316.09,319.52,315.95,326.87,316.14,326.87,315.79,330.12,316.39,324.55,316.32,327.37,316.25,327.69,316.42
4990,323.00,316.09,319.53,315.95,326.88,316.14,326.87,315.80,330.12,316.39,324.55,316.32,327.37,316.25,327.69,316.42
4991,323.00,316.10,319.53,315.95,326.88,316.14,326.87,315.80,330.12,316.39,324.56,316.32,327.37,316.25,327.69,316.42
4992,323.01,316.10,319.53,315.96,326.88,316.15,326.88,315.80,330.13,316.39,324.56,316.32,327.37,316.25,327.69,316.42
4993,323.01,316.10,319.53,315.96,326.88,316.15,326.88,315.80,330.13,316.39,324.56,316.32,327.37,316.25,327.69,316.42
4994,323.01,316.10,319.53,315.96,326.88,316.15,326.88,315.80,330.13,316.40,324.56,316.33,327.37,316.25,327.70,316.42
4995,323.01,316.10,319.53,315.96,326.88,316.15,326.88,315.80,330.13,316.40,324.56,316.33,327.37,316.26,327.70,316.43
4996,323.01,316.10,319.54,315.96,326.88,316.15,326.88,315.80,330.13,316.40,324.57,316.33,327.38,316.26,327.70,316.43
4997,323.01,316.10,319.54,315.96,326.88,316.15,326.88,315.80,330.13,316.40,324.57,316.33,327.38,316.26,327.70,316.43
4998,323.01,316.11,319.54,315.97,326.89,316.15,326.88,315.81,330.14,316.40,324.57,316.33,327.38,316.26,327.70,316.43
4999,323.01,316.11,319.54,315.97,326.89,316.16,326.89,315.81,330.14,316.40,324.57,316.33,327.38,316.26,327.70,316.43
5000,323.02,316.11,319.54,315.97,326.89,316.16,326.89,315.81,330.14,316.40,324.58,316.33,327.38,316.26,327.70,316.43
5001,323.02,316.11,319.54,315.97,326.89,316.16,326.89,315.81,330.14,316.41,324.58,316.34,327.38,316.26,327.70,316.43
5002,323.02,316.11,319.55,315.97,326.89,316.16,326.89,315.81,330.14,316.41,324.58,316.34,327.38,316.27,327.71,316.44
5003,323.02,316.11,319.55,315.97,326.89,316.16,326.89,315.81,330.14,316.41,324.58,316.34,327.39,316.27,327.71,316.44
5004,323.02,316.11,319.55,315.97,326.89,316.16,326.89,315.81,330.15,316.41,324.59,316.34,327.39,316.27,327.71,316.44
5005,323.02,316.12,319.55,315.98,326.90,316.16,326.89,315.82,330.15,316.41,324.59,316.34,327.39,316.27,327.71,316.44
5006,323.02,316.12,319.55,315.98,326.90,316.17,326.89,315.82,330.15,316.41,324.59,316.34,327.39,316.27,327.71,316.44
5007,323.02,316.12,319.55,315.98,326.90,316.17,326.90,315.82,330.15,316.42,324.59,316.35,327.39,316.27,327.71,316.44
5008,323.03,316.12,319.56,315.98,326.90,316.17,326.90,315.82,330.15,316.42,324.59,316.35,327.39,316.27,327.71,316.44
5009,323.03,316.12,319.56,315.98,326.90,316.17,326.90,315.82,330.15,316.42,324.60,316.35,327.39,316.28,327.72,316.45
5010,323.03,316.12,319.56,315.98,326.90,316.17,326.90,315.82,330.16,316.42,324.60,316.35,327.39,316.28,327.72,316.45
5011,323.03,316.12,319.56,315.98,326.90,316.17,326.90,315.82,330.16,316.42,324.60,316.35,327.40,316.28,327.72,316.45
5012,323.03,316.13,319.56,315.99,326.90,316.18,326.90,315.82,330.16,316.42,324.60,316.35,327.40,316.28,327.72,316.45
5013,323.03,316.13,319.56,315.99,326.91,316.18,326.90,315.83,330.16,316.42,324.61,316.35,327.40,316.28,327.72,316.45
5014,323.03,316.13,319.56,315.99,326.91,316.18,326.91,315.83,330.16,316.43,324.61,316.36,327.40,316.28,327.72,316.45
5015,323.03,316.13,319.57,315.99,326.91,316.18,326.91,315.83,330.16,316.43,324.61,316.36,327.40,316.28,327.72,316.46
5016,323.04,316.13,319.57,315.99,326.91,316.18,326.91,315.83,330.16,316.43,324.61,316.36,327.40,316.29,327.73,316.46
5017,323.04,316.13,319.57,315.99,326.91,316.18,326.91,315.83,330.17,316.43,324.61,316.36,327.40,316.29,327.73,316.46
5018,323.04,316.13,319.57,315.99,326.91,316.18,326.91,315.83,330.17,316.43,324.62,316.36,327.41,316.29,327.73,316.46
5019,323.04,316.14,319.57,316.00,326.91,316.19,326.91,315.83,330.17,316.43,324.62,316.36,327.41,316.29,327.73,316.46
5020,323.04,316.14,319.57,316.00,326.92,316.19,326.91,315.84,330.17,316.43,324.62,316.36,327.41,316.29,327.73,316.46
5021,323.04,316.14,319.58,316.00,326.92,316.19,326.91,315.84,330.17,316.44,324.62,316.37,327.41,316.29,327.73,316.46
5022,323.04,316.14,319.58,316.00,326.92,316.19,326.92,315.84,330.17,316.44,324.63,316.37,327.41,316.29,327.73,316.47
5023,323.04,316.14,319.58,316.00,326.92,316.19,326.92,315.84,330.18,316.44,324.63,316.37,327.41,316.30,327.74,316.47
5024,323.05,316.14,319.58,316.00,326.92,316.19,326.92,315.84,330.18,316.44,324.63,316.37,327.41,316.30,327.74,316.47
5025,323.05,316.15,319.58,316.00,326.92,316.19,326.92,315.84,330.18,316.44,324.63,316.37,327.41,316.30,327.74,316.47
5026,323.05,316.15,319.58,316.01,326.92,316.20,326.92,315.84,330.18,316.44,324.64,316.37,327.42,316.30,327.74,316.47
5027,323.05,316.15,319.58,316.01,326.92,316.20,326.92,315.84,330.18,316.44,324.64,316.38,327.42,316.30,327.74,316.47
5028,323.05,316.15,319.59,316.01,326.93,316.20,326.92,315.85,330.18,316.45,324.64,316.38,327.42,316.30,327.74,316.47
5029,323.05,316.15,319.59,316.01,326.93,316.20,326.92,315.85,330.18,316.45,324.64,316.38,327.42,316.30,327.74,316.48
5030,323.05,316.15,319.59,316.01,326.93,316.20,326.93,315.85,330.19,316.45,324.64,316.38,327.42,316.31,327.74,316.48
5031,323.05,316.15,319.59,316.01,326.93,316.20,326.93,315.85,330.19,316.45,324.65,316.38,327.42,316.31,327.75,316.48
5032,323.06,316.16,319.59,316.01,326.93,316.20,326.93,315.85,330.19,316.45,324.65,316.38,327.42,316.31,327.75,316.48
5033,323.06,316.16,319.59,316.02,326.93,316.21,326.93,315.85,330.19,316.45,324.65,316.38,327.43,316.31,327.75,316.48
5034,323.06,316.16,319.60,316.02,326.93,316.21,326.93,315.85,330.19,316.45,324.65,316.39,327.43,316.31,327.75,316.48
5035,323.06,316.16,319.60,316.02,326.93,316.21,326.93,315.85,330.19,316.46,324.66,316.39,327.43,316.31,327.75,316.48
5036,323.06,316.16,319.60,316.02,326.94,316.21,326.93,315.86,330.20,316.46,324.66,316.39,327.43,316.31,327.75,316.49
5037,323.06,316.16,319.60,316.02,326.94,316.21,326.94,315.86,330.20,316.46,324.66,316.39,327.43,316.32,327.75,316.49
5038,323.06,316.16,319.60,316.02,326.94,316.21,326.94,315.86,330.20,316.46,324.66,316.39,327.43,316.32,327.76,316.49
5039,323.06,316.17,319.60,316.02,326.94,316.21,326.94,315.86,330.20,316.46,324.66,316.39,327.43,316.32,327.76,316.49
5040,323.07,316.17,319.61,316.03,326.94,316.22,326.94,315.86,330.20,316.46,324.67,316.40,327.43,316.32,327.76,316.49
5041,323.07,316.17,319.61,316.03,326.94,316.22,326.94,315.86,330.20,316.47,324.67,316.40,327.44,316.32,327.76,316.49
5042,323.07,316.17,319.61,316.03,326.94,316.22,326.94,315.86,330.20,316.47,324.67,316.40,327.44,316.32,327.76,316.49
5043,323.07,316.17,319.61,316.03,326.94,316.22,326.94,315.87,330.21,316.47,324.67,316.40,327.44,316.32,327.76,316.50
5044,323.07,316.17,319.61,316.03,326.95,316.22,326.94,315.87,330.21,316.47,324.68,316.40,327.44,316.33,327.76,316.50
5045,323.07,316.17,319.61,316.03,326.95,316.22,326.95,315.87,330.21,316.47,324.68,316.40,327.44,316.33,327.77,316.50
5046,323.07,316.18,319.61,316.03,326.95,316.22,326.95,315.87,330.21,316.47,324.68,316.40,327.44,316.33,327.77,316.50
5047,323.07,316.18,319.62,316.04,326.95,316.23,326.95,315.87,330.21,316.47,324.68,316.41,327.44,316.33,327.77,316.50
5048,323.08,316.18,319.62,316.04,326.95,316.23,326.95,315.87,330.21,316.48,324.68,316.41,327.44,316.33,327.77,316.50
5049,323.08,316.18,319.62,316.04,326.95,316.23,326.95,315.87,330.22,316.48,324.69,316.41,327.45,316.33,327.77,316.51
5050,323.08,316.18,319.62,316.04,326.95,316.23,326.95,315.87,330.22,316.48,324.69,316.41,327.45,316.33,327.77,316.51
5051,323.08,316.18,319.62,316.04,326.96,316.23,326.95,315.88,330.22,316.48,324.69,316.41,327.45,316.34,327.77,316.51
5052,323.08,316.18,319.62,316.04,326.96,316.23,326.95,315.88,330.22,316.48,324.69,316.41,327.45,316.34,327.77,316.51
5053,323.08,316.19,319.63,316.04,326.96,316.23,326.96,315.88,330.22,316.48,324.70,316.41,327.45,316.34,327.78,316.51
5054,323.08,316.19,319.63,316.05,326.96,316.23,326.96,315.88,330.22,316.48,324.70,316.42,327.45,316.34,327.78,316.51
5055,323.08,316.19,319.63,316.05,326.96,316.24,326.96,315.88,330.22,316.49,324.70,316.42,327.45,316.34,327.78,316.51
5056,323.09,316.19,319.63,316.05,326.96,316.24,326.96,315.88,330.23,316.49,324.70,316.42,327.46,316.34,327.78,316.52
5057,323.09,316.19,319.63,316.05,326.96,316.24,326.96,315.88,330.23,316.49,324.70,316.42,327.46,316.34,327.78,316.52
5058,323.09,316.19,319.63,316.05,326.96,316.24,326.96,315.89,330.23,316.49,324.71,316.42,327.46,316.35,327.78,316.52
5059,323.09,316.19,319.63,316.05,326.97,316.24,326.96,315.89,330.23,316.49,324.71,316.42,327.46,316.35,327.78,316.52
5060,323.09,316.20,319.64,316.05,326.97,316.24,326.96,315.89,330.23,316.49,324.71,316.43,327.46,316.35,327.79,316.52
5061,323.09,316.20,319.64,316.06,326.97,316.24,326.97,315.89,330.23,316.49,324.71,316.43,327.46,316.35,327.79,316.52
5062,323.09,316.20,319.64,316.06,326.97,316.25,326.97,315.89,330.24,316.50,324.72,316.43,327.46,316.35,327.79,316.52
5063,323.09,316.20,319.64,316.06,326.97,316.25,326.97,315.89,330.24,316.50,324.72,316.43,327.46,316.35,327.79,316.53
5064,323.10,316.20,319.64,316.06,326.97,316.25,326.97,315.89,330.24,316.50,324.72,316.43,327.47,316.35,327.79,316.53
5065,323.10,316.20,319.64,316.06,326.97,316.25,326.97,315.89,330.24,316.50,324.72,316.43,327.47,316.36,327.79,316.53
5066,323.10,316.20,319.65,316.06,326.97,316.25,326.97,315.90,330.24,316.50,324.72,316.43,327.47,316.36,327.79,316.53
5067,323.10,316.21,319.65,316.06,326.98,316.25,326.97,315.90,330.24,316.50,324.73,316.44,327.47,316.36,327.79,316.53
5068,323.10,316.21,319.65,316.07,326.98,316.25,326.97,315.90,330.24,316.50,324.73,316.44,327.47,316.36,327.80,316.53
5069,323.10,316.21,319.65,316.07,326.98,316.26,326.98,315.90,330.25,316.51,324.73,316.44,327.47,316.36,327.80,316.53
5070,323.10,316.21,319.65,316.07,326.98,316.26,326.98,315.90,330.25,316.51,324.73,316.44,327.47,316.36,327.80,316.54
5071,323.10,316.21,319.65,316.07,326.98,316.26,326.98,315.90,330.25,316.51,324.74,316.44,327.47,316.36,327.80,316.54
5072,323.11,316.21,319.66,316.07,326.98,316.26,326.98,315.90,330.25,316.51,324.74,316.44,327.48,316.37,327.80,316.54
5073,323.11,316.22,319.66,316.07,326.98,316.26,326.98,315.90,330.25,316.51,324.74,316.45,327.48,316.37,327.80,316.54
5074,323.11,316.22,319.66,316.07,326.98,316.26,326.98,315.91,330.25,316.51,324.74,316.45,327.48,316.37,327.80,316.54
5075,323.11,316.22,319.66,316.07,326.99,316.26,326.98,315.91,330.26,316.51,324.74,316.45,327.48,316.37,327.81,316.54
5076,323.11,316.22,319.66,316.08,326.99,316.27,326.98,315.91,330.26,316.52,324.75,316.45,327.48,316.37,327.81,316.54
5077,323.11,316.22,319.66,316.08,326.99,316.27,326.99,315.91,330.26,316.52,324.75,316.45,327.48,316.37,327.81,316.55
5078,323.11,316.22,319.66,316.08,326.99,316.27,326.99,315.91,330.26,316.52,324.75,316.45,327.48,316.37,327.81,316.55
5079,323.11,316.22,319.67,316.08,326.99,316.27,326.99,315.91,330.26,316.52,324.75,316.45,327.49,316.38,327.81,316.55
5080,323.12,316.23,319.67,316.08,326.99,316.27,326.99,315.91,330.26,316.52,324.76,316.46,327.49,316.38,327.81,316.55
5081,323.12,316.23,319.67,316.08,326.99,316.27,326.99,315.92,330.26,316.52,324.76,316.46,327.49,316.38,327.81,316.55
5082,323.12,316.23,319.67,316.08,326.99,316.27,326.99,315.92,330.27,316.52,324.76,316.46,327.49,316.38,327.81,316.55
5083,323.12,316.23,319.67,316.09,327.00,316.28,326.99,315.92,330.27,316.53,324.76,316.46,327.49,316.38,327.82,316.55
5084,323.12,316.23,319.67,316.09,327.00,316.28,326.99,315.92,330.27,316.53,324.76,316.46,327.49,316.38,327.82,316.56
5085,323.12,316.23,319.68,316.09,327.00,316.28,327.00,315.92,330.27,316.53,324.77,316.46,327.49,316.38,327.82,316.56
5086,323.12,316.23,319.68,316.09,327.00,316.28,327.00,315.92,330.27,316.53,324.77,316.46,327.49,316.39,327.82,316.56
5087,323.12,316.24,319.68,316.09,327.00,316.28,327.00,315.92,330.27,316.53,324.77,316.47,327.50,316.39,327.82,316.56
5088,323.12,316.24,319.68,316.09,327.00,316.28,327.00,315.92,330.27,316.53,324.77,316.47,327.50,316.39,327.82,316.56
5089,323.13,316.24,319.68,316.09,327.00,316.28,327.00,315.93,330.28,316.54,324.78,316.47,327.50,316.39,327.82,316.56
5090,323.13,316.24,319.68,316.10,327.00,316.29,327.00,315.93,330.28,316.54,324.78,316.47,327.50,316.39,327.83,316.56
5091,323.13,316.24,319.68,316.10,327.01,316.29,327.00,315.93,330.28,316.54,324.78,316.47,327.50,316.39,327.83,316.57
5092,323.13,316.24,319.69,316.10,327.01,316.29,327.00,315.93,330.28,316.54,324.78,316.47,327.50,316.39,327.83,316.57
5093,323.13,316.24,319.69,316.10,327.01,316.29,327.01,315.93,330.28,316.54,324.78,316.48,327.50,316.39,327.83,316.57
5094,323.13,316.25,319.69,316.10,327.01,316.29,327.01,315.93,330.28,316.54,324.79,316.48,327.50,316.40,327.83,316.57
5095,323.13,316.25,319.69,316.10,327.01,316.29,327.01,315.93,330.29,316.54,324.79,316.48,327.51,316.40,327.83,316.57
5096,323.13,316.25,319.69,316.10,327.01,316.29,327.01,315.93,330.29,316.55,324.79,316.48,327.51,316.40,327.83,316.57
5097,323.14,316.25,319.69,316.11,327.01,316.30,327.01,315.94,330.29,316.55,324.79,316.48,327.51,316.40,327.83,316.58
5098,323.14,316.25,319.70,316.11,327.01,316.30,327.01,315.94,330.29,316.55,324.80,316.48,327.51,316.40,327.84,316.58
5099,323.14,316.25,319.70,316.11,327.02,316.30,327.01,315.94,330.29,316.55,324.80,316.48,327.51,316.40,327.84,316.58
5100,323.14,316.25,319.70,316.11,327.02,316.30,327.01,315.94,330.29,316.55,324.80,316.49,327.51,316.40,327.84,316.58
5101,323.14,316.26,319.70,316.11,327.02,316.30,327.02,315.94,330.29,316.55,324.80,316.49,327.51,316.41,327.84,316.58
5102,323.14,316.26,319.70,316.11,327.02,316.30,327.02,315.94,330.30,316.55,324.80,316.49,327.51,316.41,327.84,316.58
5103,323.14,316.26,319.70,316.11,327.02,316.30,327.02,315.94,330.30,316.56,324.81,316.49,327.52,316.41,327.84,316.58
5104,323.14,316.26,319.70,316.12,327.02,316.31,327.02,315.95,330.30,316.56,324.81,316.49,327.52,316.41,327.84,316.59
5105,323.15,316.26,319.71,316.12,327.02,316.31,327.02,315.95,330.30,316.56,324.81,316.49,327.52,316.41,327.84,316.59
5106,323.15,316.26,319.71,316.12,327.02,316.31,327.02,315.95,330.30,316.56,324.81,316.49,327.52,316.41,327.85,316.59
5107,323.15,316.26,319.71,316.12,327.03,316.31,327.02,315.95,330.30,316.56,324.81,316.50,327.52,316.41,327.85,316.59
5108,323.15,316.27,319.71,316.12,327.03,316.31,327.02,315.95,330.30,316.56,324.82,316.50,327.52,316.42,327.85,316.59
5109,323.15,316.27,319.71,316.12,327.03,316.31,327.03,315.95,330.31,316.56,324.82,316.50,327.52,316.42,327.85,316.59
5110,323.15,316.27,319.71,316.12,327.03,316.31,327.03,315.95,330.31,316.57,324.82,316.50,327.52,316.42,327.85,316.59
5111,323.15,316.27,319.71,316.13,327.03,316.32,327.03,315.95,330.31,316.57,324.82,316.50,327.53,316.42,327.85,316.60
5112,323.15,316.27,319.72,316.13,327.03,316.32,327.03,315.96,330.31,316.57,324.83,316.50,327.53,316.42,327.85,316.60
5113,323.16,316.27,319.72,316.13,327.03,316.32,327.03,315.96,330.31,316.57,324.83,316.50,327.53,316.42,327.85,316.60
5114,323.16,316.27,319.72,316.13,327.03,316.32,327.03,315.96,330.31,316.57,324.83,316.51,327.53,316.42,327.86,316.60
5115,323.16,316.28,319.72,316.13,327.04,316.32,327.03,315.96,330.31,316.57,324.83,316.51,327.53,316.43,327.86,316.60
5116,323.16,316.28,319.72,316.13,327.04,316.32,327.03,315.96,330.32,316.57,324.83,316.51,327.53,316.43,327.86,316.60
5117,323.16,316.28,319.72,316.13,327.04,316.32,327.04,315.96,330.32,316.58,324.84,316.51,327.53,316.43,327.86,316.60
5118,323.16,316.28,319.73,316.14,327.04,316.33,327.04,315.96,330.32,316.58,324.84,316.51,327.53,316.43,327.86,316.61
5119,323.16,316.28,319.73,316.14,327.04,316.33,327.04,315.96,330.32,316.58,324.84,316.51,327.54,316.43,327.86,316.61
5120,323.16,316.28,319.73,316.14,327.04,316.33,327.04,315.97,330.32,316.58,324.84,316.52,327.54,316.43,327.86,316.61
5121,323.17,316.28,319.73,316.14,327.04,316.33,327.04,315.97,330.32,316.58,324.85,316.52,327.54,316.43,327.87,316.61
5122,323.17,316.29,319.73,316.14,327.04,316.33,327.04,315.97,330.32,316.58,324.85,316.52,327.54,316.44,327.87,316.61
5123,323.17,316.29,319.73,316.14,327.05,316.33,327.04,315.97,330.33,316.58,324.85,316.52,327.54,316.44,327.87,316.61
5124,323.17,316.29,319.73,316.14,327.05,316.33,327.04,315.97,330.33,316.59,324.85,316.52,327.54,316.44,327.87,316.61
5125,323.17,316.29,319.74,316.15,327.05,316.33,327.05,315.97,330.33,316.59,324.85,316.52,327.54,316.44,327.87,316.62
5126,323.17,316.29,319.74,316.15,327.05,316.34,327.05,315.97,330.33,316.59,324.86,316.52,327.54,316.44,327.87,316.62
5127,323.17,316.29,319.74,316.15,327.05,316.34,327.05,315.97,330.33,316.59,324.86,316.53,327.55,316.44,327.87,316.62
5128,323.17,316.29,319.74,316.15,327.05,316.34,327.05,315.98,330.33,316.59,324.86,316.53,327.55,316.44,327.87,316.62
5129,323.17,316.30,319.74,316.15,327.05,316.34,327.05,315.98,330.34,316.59,324.86,316.53,327.55,316.45,327.88,316.62
5130,323.18,316.30,319.74,316.15,327.05,316.34,327.05,315.98,330.34,316.59,324.86,316.53,327.55,316.45,327.88,316.62
5131,323.18,316.30,319.75,316.15,327.05,316.34,327.05,315.98,330.34,316.60,324.87,316.53,327.55,316.45,327.88,316.62
5132,323.18,316.30,319.75,316.15,327.06,316.34,327.05,315.98,330.34,316.60,324.87,316.53,327.55,316.45,327.88,316.63
5133,323.18,316.30,319.75,316.16,327.06,316.35,327.06,315.98,330.34,316.60,324.87,316.53,327.55,316.45,327.88,316.63
5134,323.18,316.30,319.75,316.16,327.06,316.35,327.06,315.98,330.34,316.60,324.87,316.54,327.55,316.45,327.88,316.63
5135,323.18,316.30,319.75,316.16,327.06,316.35,327.06,315.98,330.34,316.60,324.88,316.54,327.56,316.45,327.88,316.63
5136,323.18,316.31,319.75,316.16,327.06,316.35,327.06,315.99,330.35,316.60,324.88,316.54,327.56,316.46,327.88,316.63
5137,323.18,316.31,319.75,316.16,327.06,316.35,327.06,315.99,330.35,316.60,324.88,316.54,327.56,316.46,327.89,316.63
5138,323.19,316.31,319.76,316.16,327.06,316.35,327.06,315.99,330.35,316.61,324.88,316.54,327.56,316.46,327.89,316.63
5139,323.19,316.31,319.76,316.16,327.06,316.35,327.06,315.99,330.35,316.61,324.88,316.54,327.56,316.46,327.89,316.64
5140,323.19,316.31,319.76,316.17,327.07,316.36,327.06,315.99,330.35,316.61,324.89,316.54,327.56,316.46,327.89,316.64
5141,323.19,316.31,319.76,316.17,327.07,316.36,327.06,315.99,330.35,316.61,324.89,316.55,327.56,316.46,327.89,316.64
5142,323.19,316.31,319.76,316.17,327.07,316.36,327.07,315.99,330.35,316.61,324.89,316.55,327.56,316.46,327.89,316.64
5143,323.19,316.32,319.76,316.17,327.07,316.36,327.07,316.00,330.36,316.61,324.89,316.55,327.57,316.46,327.89,316.64
5144,323.19,316.32,319.76,316.17,327.07,316.36,327.07,316.00,330.36,316.61,324.90,316.55,327.57,316.47,327.89,316.64
5145,323.19,316.32,319.77,316.17,327.07,316.36,327.07,316.00,330.36,316.62,324.90,316.55,327.57,316.47,327.90,316.64
5146,323.20,316.32,319.77,316.17,327.07,316.36,327.07,316.00,330.36,316.62,324.90,316.55,327.57,316.47,327.90,316.65
